STRID,LAN,Remark
GUILD_SET_LEADER_ERR2,"T× gi¶ ðªn khi Huyªt th¥n chiªn kªt thúc thì bang chü cüa bang ðång ký thü thành không th¬ thay ð±i.",
GUILD_SET_LEADER_ERR3,"T× gi¶ ðªn khi Huyªt Th¥n Phü b¸ bang khác chiªm giæ thì thành chü cüa Huyªt Th¥n Phü không th¬ ð±i bang chü",
GUILD_SETTITLE_INPUT,"Vui lòng nh§p danh xßng",
GUILD_SETTITLE_TLIMIT,"M²i phút bÕn chï có th¬ chïnh danh hi®u bang hµi 1 l¥n.",
GUILD_TITLE_INVALID,"Danh hi®u bang hµi phäi ít h½n 8 kí tñ, ð°ng th¶i không ðßþc có nhæng kí hi®u không hþp l®.",
GUILD_TO_DESTROY,"Do bang chü chü ðµng xin giäi tán bang hµi nên bang hµi cüa bÕn s¨ giäi tán sau 7 ngày.",
GUILD_TO_DESTROY_CANCEL,"Bang chü ðã khôi phøc lÕi bang hµi, bang hµi cüa bÕn không b¸ giäi tán",
GUILD_TO_DESTROY_TIME,"Bang hµi cüa bÕn s¨ giäi tán vào nåm %d tháng %02d ngày %02d  %02d gi¶ %02d phút",
GUILD_U_BE_KICKED,"BÕn b¸ trøc xu¤t khöi bang hµi",
GUILD_UI_DESTROY_,"Giäi tán bang hµi",
GUILD_UI_UNDESTROY_,"Khôi phøc bang hµi",
GUILD_UI_UPLOAD_ICON,"Ðång bi¬u tßþng",
GUILD_UNDESTROY_CONFIRM,"BÕn th§t sñ mu¯n khôi phøc bang hµi?",
GUILD_URS_DESTROYED,"Bang hµi cüa bÕn ðã giäi tán",
GUILD_USER_IN_GUILD_WAR_CAN_NOT_CHANGE_LEADER,"Trong th¶i gian bang chiªn không th¬ ð±i bang chü",
GUILD_USER_IN_GUILD_WAR_CAN_NOT_LEAVE,"Ngß¶i ch½i ðang trong bang chiªn không th¬ r¶i bang hµi",
GUILD_USER_MUST_ON_LINE,"Ngß¶i ch½i này phäi có m£t",
GUILD_USER_NOT_FOUND,"Không tìm ðßþc nhân v§t này",
GUILD_USRE_IN_GUILD_WAR_CAN_NOT_ADD,"Ngß¶i ch½i này ðang trong bang chiªn, không th¬ thêm",
guildtask_finish_once_perday,"Nhi®m vø này m²i ngày chï ðßþc hoàn thành 1 l¥n",
GUILDTERR_APPLY,"Thïnh lãnh ð¸a bang hµi b¢ng ngân lßþng",
GUILDTERR_APPLY_BYITEM,"Dùng v§t ph¦m ð¬ thïnh lãnh ð¸a bang hµi",
GUILDTERR_APPLY_ERROR1,"Thïnh lãnh ð¸a bang hµi th¤t bÕi",
GUILDTERR_APPLY_ERROR2,"Vi®c xin phép th¤t bÕi, bang hµi ít nh¤t phäi ðÕt ðªn %d ngß¶i m¾i có th¬ thïnh lãnh ð¸a",
GUILDTERR_APPLY_ERROR3,"Vi®c xin phép th¤t bÕi, bang hµi cüa bÕn ðã thïnh lãnh ð¸a bang hµi r°i",
GUILDTERR_APPLY_ERROR4,"Vi®c xin phép th¤t bÕi, thïnh lãnh ð¸a bang hµi c¥n phäi có %d lßþng vàng.",
GUILDTERR_APPLY_ERROR5,"Chï có bang chü m¾i có th¬ thïnh lãnh ð¸a bang hµi",
GUILDTERR_APPLY_ERROR6,"Thïnh th¤t bÕi, thiªu v§t ph¦m c¥n thiªt ð¬ thïnh lãnh ð¸a",
GUILDTERR_APPLY_SUCCESS,"Thïnh lãnh ð¸a bang hµi thành công",
GUILDTERR_BUILD_ALREADY,"Ðã có công trình ðang xây dñng",
GUILDTERR_BUILD_COMPLETE,"%s xây dñng thành công",
GUILDTERR_BUILD_NEED_,"C¥n c¤p %d %s",
GUILDTERR_BUILD_NEW_CHECKFAIL,"Ði«u ki®n xây dñng không ðü",
GUILDTERR_BUILD_OFFICIAL_FAIL,"BÕn không có ðü quy«n hÕn",
GUILDTERR_BUILD_UPDATE,"Thång c¤p ",
GUILDTERR_BUILD_UPDATE_CHECKFAIL,"Ði«u ki®n thång c¤p không ðü",
GUILDTERR_BUILD_UPDATE_RES,"Nâng c¤p công trình %d",
GUILDTERR_CONTRIBUTE,"Tài nguyên quyên góp",
GUILDTERR_CREATE_SCENE_ERROR,"Xây dñng cänh ð¸a trong lãnh ð¸a bang hµi th¤t bÕi",
GUILDTERR_ENTER,"Tiªn vào lãnh ð¸a bang hµi",
GUILDTERR_ENTER_ERROR1,"Nhân v§t phäi · trong cänh ð¸a chính",
GUILDTERR_GETRETURN,"Lãnh bang hµi l®nh bài",
GUILDTERR_HAVE_NO_TERR,"Bang hµi chßa thïnh lãnh ð¸a bang hµi",
GUILDTERR_ITEM_ERROR1,"Không tìm th¤y v§t ph¦m tång t¯c dùng ð¬ tång t¯c xây dñng Sinh M®nh Chi Thø, tång t¯c th¤t bÕi",
GUILDTERR_ITEM_USE,"Xác nh§n sØ døng v§t ph¦m ð¬ tång t¯c thång c¤p Sinh M®nh Chi Thø?",
GUILDTERR_ITEM_USE_NEW,"Xác nh§n sØ døng v§t ph¦m ð¬ tång t¯c xây dñng Sinh M®nh Chi Thø?",
GUILDTERR_LEAVE,"R¶i khöi lãnh ð¸a bang hµi",
GUILDTERR_LEAVE_ERROR1,"Nhân v§t phäi · trong cänh ð¸a lãnh ð¸a bang hµi",
GUILDTERR_LEAVE_ERROR2,"Không tìm ðßþc cänh ð¸a m£c ð¸nh",
GUILDTERR_MEMBER_REACH,"Thành viên bang hµi c¥n %d ngß¶i ðÕt ðªn c¤p %d",
GUILDTERR_NAME_LEV,"%s c¤p ðµ %d",
GUILDTERR_NEW,"Xây dñng công trình m¾i",
GUILDTERR_NEW_BUILD,"Xây dñng công trình",
GUILDTERR_NO_THIS_GUILD,"Không tìm ðßþc bang hµi chï ð¸nh",
GUILDTERR_NOWBUILD_CURR,"Hi®n ðang trong quá trình xây dñng",
GUILDTERR_NOWBUILD_ENDAT,"Kªt thúc vào lúc %02d:%02d",
GUILDTERR_NOWBUILD_LEFTTIME,"Còn %02d:%02d:%02d gi¶",
GUILDTERR_RES_CURR,"Tài nguyên bang hµi hi®n tÕi",
GUILDTERR_RES_FAIL,"Tài nguyên không ðü",
GUILDTERR_YOUR_CONTRIB,"Ðµ c¯ng hiªn bang hµi cüa bÕn: %d",
help_reference,"Møc løc",
hint_autouse,"V§t ph¦m tiêu hao trþ giúp",
hint_concentrate,"Ngßng th¥n",
hint_fuse,"Dung hþp pháp bäo",
hint_normalattack,"T¤n công thông thß¶ng",
hint_practice,"Tinh luy®n pháp bäo",
hint_sit,"T÷a thi«n",
item_cannot_bank,"V§t ph¦m ðang sØ døng ho£c tính ch¤t v§t ph¦m không th¬ tàng træ",
item_cannot_delete,"V§t ph¦m này không th¬ bö ",
item_check_use_item,"BÕn th§t sñ mu¯n sØ døng  [%s] không?",
item_delete,"BÕn th§t sñ mu¯n bö v§t ph¦m này vînh vi­n?",
item_drop,"BÕn th§t sñ mu¯n bö v§t ph¦m này?",
item_monster,"Tri®u h°i thú",
item_other_error1,"Vì thuµc tính l¾n h½n so v¾i ðÆng c¤p Hoàng Kim, ho£c c¤p ðµ khäm nÕm l¾n h½n c¤p ðµ %d, v§t ph¦m %s không th¬ bán.",
item_other_error2,"Vì thuµc tính l¾n h½n so v¾i ðÆng c¤p Hoàng Kim, ho£c c¤p ðµ khäm nÕm l¾n h½n c¤p ðµ %d, v§t ph¦m %s không th¬ bö ði.",
item_other_error3,"Ð¬ bäo toàn tài sän cá nhân, 1 ngày chï có th¬ hüy v§t ph¦m trong gi¾i hÕn %d l¥n. V§t ph¦m không sØ døng có th¬ bán cho NPC ho£c giao d¸ch cho ai khác.",
item_other_error4,"Chú ý: V§t ph¦m ðã khóa ð¸nh linh h°n không th¬ tiêu hüy ho£c bán cho NPC.",
item_other_error5,"Ð¬ bäo v® an toàn v§t ph¦m tài khoän, hi®n ðÕo hæu ðang trong trÕng thái Gi¾i HÕn An Toàn %d phút sau khi online. Do ðó không th¬ tiªn hành các thao tác giao d¸ch, tiêu hüy hay bán v§t ph¦m.",
item_other_error6,"Ð¬ bäo v® an toàn v§t ph¦m tài khoän, hi®n ðÕo hæu ðang trong trÕng thái Gi¾i HÕn An Toàn %d phút sau khi online. Do ðó không th¬ tiªn hành các thao tác giao d¸ch, tiêu hüy hay bán v§t ph¦m.",
ITEM_SUIT,"Bµ Trang Phøc",
item_unlock,"Vui lòng nh§p m§t mã thß½ng kh¯ ",
itemtype_amulet,"Hµ thân phù",
itemtype_clothing,"Khôi giáp",
itemtype_cuff,"Hµ oän",
itemtype_glove,"Hµ thü",
itemtype_kneepad,"Hµ t¤t",
itemtype_maintrump,"Pháp bäo chính",
itemtype_ring,"Gi¾i chï",
itemtype_sash,Ðai,
itemtype_shoes,Hài,
itemtype_subtrump,"Pháp bäo h² trþ",
key_setting_prompt,"Nh¤n nút ð¬ xác nh§n l®nh khóa ð¸nh -->",
key_setting_successful,"Thiªt l§p phím thành công!",
key_setting_unset1,"Chßa thiªt l§p",
key_setting_unset2,"Chßa thiªt l§p chÑc nång.",
login_connect_failed,"Kªt n¯i máy chü th¤t bÕi, vui lòng thØ lÕi!",
login_connect_successful,"Kªt n¯i thành công!",
login_connecting,"Ðang kªt n¯i v¾i máy chü, vui lòng ðþi..",
login_get_rolelist_failed,"Nh§p bäng li®t kê nhân v§t th¤t bÕi.",
login_geting_rolelist,"Ðang nh§p bäng li®t kê nhân v§t..",
login_name_or_pass_error,"Vui lòng nh§p tên ðång nh§p hay m§t mã!",
login_open_soon,"Máy chü s¨ m· lÕi trong th¶i gian t¾i, vui lòng thØ lÕi sau.",
login_server_busy,"ÐÕo hæu, hi®n máy chü ðang b§n hay quá täi, bÕn vui lòng thØ lÕi sau.",
login_verify_successful,"Xác nh§n thành công!",
msg_2ndbag_already_exist,"ÐÕo cø bao thÑ hai mà bÕn thuê vçn ðang trong th¶i gian hæu hi®u.",
msg_2ndbag_fail,"Thao tác ðÕo cø b¯i bao th¤t bÕi, vui lòng thØ lÕi sau.",
msg_2ndbag_success,"Thao tác ðÕo cø b¯i bao thành công!",
msg_3c_bekilledcount,"B¸ hÕ",
msg_3c_killcount,"HÕ ðßþc",
msg_3c_otherteam,"Ð¯i phß½ng",
msg_3c_selfteam,"Bän thân",
msg_3ndbag_already_exist,"B¯i bao thÑ 3 mà ðÕo hæu thuê vçn trong th¶i gian hi®u lñc",
MSG_ADD_HATE,"H¤p thø thù h§n cüa møc tiêu",
msg_add_money_get," ðßþc ",
msg_add_money_lost," m¤t ",
msg_add_money_user,BÕn,
MSG_ADD_POINTS,"Thß·ng %d ði¬m chiªn ð¤u",
MSG_ADDHP,"Tång sinh m®nh %d",
MSG_ADDHPRATE,"Tång %d%% sinh m®nh",
MSG_ADDMAXHP,"Tång sinh m®nh t¯i ða %d",
MSG_ADDMAXMP,"Tång pháp lñc t¯i ða %d",
MSG_ADDMP,"Tång pháp lñc %d",
MSG_ADDMPRATE,"Tång %d%% pháp lñc",
msg_anti_img_question,"TÕi hình trên, ký tñ thÑ m¤y là '%s'",
msg_anti_opt_1st,"ThÑ 1",
msg_anti_opt_2st,"ThÑ 2",
msg_anti_opt_3st,"ThÑ 3",
msg_anti_opt_4st,"ThÑ 4",
msg_anti_robot1,"%d phút %d giây",
msg_anti_robot2,"Do trä l¶i sai câu höi nên nhân v§t cüa bÕn b¸ khóa. Th¶i gian còn lÕi cho ðªn khi hªt khóa là: %d gi¶ %d phút %d giây",
